Quality rule id;Quality rule name;Remediation effort (in minutes);Critical;Technologies
3570;Avoid using Keywords as names; ;FALSE;.NET (Legacy Analyzer)/C#/VB.NET
550;Class naming convention - case control (C++);;FALSE;C++
552;Method naming convention - case control (C++);;FALSE;C++
554;Constant naming convention - case control (C++);;FALSE;C++
556;Macros naming convention - case control;;FALSE;C++
558;Data Members naming convention - case control;;FALSE;C++
562;File naming convention - embedded Class;;FALSE;C++
564;Avoid including files other than header files;;FALSE;C++
566;Avoid large Classes - too many Methods (C++);;FALSE;C++
568;Avoid large Classes - too many Data Members (C++);;FALSE;C++
570;Avoid large Interfaces - too many Methods (C++);;FALSE;C++
576;Avoid large Classes - too many Constructors (C++);;FALSE;C++
578;Avoid Classes with multiple inheritance;;FALSE;C++
580;Avoid using Structures;;FALSE;C++
584;Avoid Classes with at least one virtual Function and without a virtual Destructor;;FALSE;C++
588;Avoid using Global Variables (C++);;FALSE;C++
590;Avoid using global objects in Constructors and Destructors;;FALSE;C++
592;Ensure you provide a user-defined copy constructor or disable copy when a class allocates memory in its constructor;;TRUE;C++
610;Avoid circular references between header files;;FALSE;C++
620;Avoid base Classes without virtual Destructors;;FALSE;C++
628;Avoid invocation of virtual Methods of the declared Class in a Constructor or Destructor;;TRUE;C++
630;Avoid data members that are not private;;FALSE;C++
634;Avoid using VARIANT Structures;;FALSE;C++
678;Never throw an exception from a Destructor;;TRUE;C++
1050;Static Functions naming conventions - case control;;FALSE;C
1052;Macros naming conventions - case control;;FALSE;C
1054;Types naming conventions - suffix control;;FALSE;C
1058;Avoid large Files - too many Lines of Code;;FALSE;C/C++
1060;Avoid large Macros - too many Lines of Code;;FALSE;C/C++
1066;Avoid implementation files that do not include a header file with the same name;;FALSE;C/C++
1070;Avoid header files circular references;;FALSE;C
1072;Avoid using memory management Functions (free/malloc/realloc);;FALSE;C/C++
1074;Avoid using signals management Functions;;FALSE;C/C++
1078;Avoid undocumented Header files;;FALSE;C/C++
1082;Avoid header files with a very low comment/code ratio;;FALSE;C/C++
1084;Non static functions naming conventions - case control;;FALSE;C
1090;Avoid unreferenced Files;;FALSE;C
1092;Avoid undocumented Implementation files;;FALSE;C/C++
1094;Avoid Implementation files with a very low comment/code ratio;;FALSE;C/C++
1558;Package naming convention - prefix control;;FALSE;PL/SQL
1560;Package Function naming convention - prefix control;;FALSE;PL/SQL
1562;Package Stored Procedure naming convention - prefix control;;FALSE;PL/SQL
1564;Cursor naming convention - prefix control;;FALSE;PL/SQL
1574;Use at most one statement per line;;FALSE;Forms/PL/SQL
1576;Use varchar2 instead of char and varchar;;FALSE;PL/SQL
1578;Avoid using LONG & LONG RAW datatype for Table Columns;;FALSE;PL/SQL
1580;Avoid using execute immediate;;TRUE;Forms/PL/SQL
1582;Avoid large Tables - too many columns;;FALSE;PL/SQL
